SN,Gender,AGE,Recency_Service,Recency_Product,Bill_Service,Bill_Product,Success,AGE_Encoded,Total_Recency,Total_Bill,Recency_Ratio,Bill_Ratio
101,2,<=55,7,13,10.48,2.08,0,2,20,12.56,0.5,3.4025974025974026
102,1,<=45,6,0,9.21,0.57,0,1,6,9.780000000000001,6.0,5.866242038216562
103,1,<=45,5,10,13.21,1.55,0,1,15,14.760000000000002,0.45454545454545453,5.180392156862746
104,2,<=55,12,2,15.42,1.39,0,2,14,16.81,4.0,6.451882845188285
105,2,<=55,17,18,6.37,0.7,0,2,35,7.07,0.8947368421052632,3.7470588235294118
106,1,<=45,13,2,7.48,1.12,0,1,15,8.600000000000001,4.333333333333333,3.5283018867924527
107,1,<=55,12,17,8.0,1.0,0,2,29,9.0,0.6666666666666666,4.0
108,1,<=45,17,12,9.91,12.35,1,1,29,22.259999999999998,1.3076923076923077,0.7423220973782771
109,1,<=45,17,11,6.1,2.86,0,1,28,8.959999999999999,1.4166666666666667,1.5803108808290156
110,2,<=55,2,17,10.2,2.37,0,2,19,12.57,0.1111111111111111,3.0267062314540056
111,2,<=30,7,3,15.21,1.63,0,0,10,16.84,1.75,5.783269961977187
112,2,<=30,4,2,15.9,2.4,1,0,6,18.3,1.3333333333333333,4.676470588235294
113,2,<=45,12,12,11.26,1.44,0,1,24,12.7,0.9230769230769231,4.614754098360656
114,2,<=45,0,1,7.89,0.2,0,1,1,8.09,0.0,6.575
115,2,<=30,4,3,13.39,1.7,1,0,7,15.09,1.0,4.959259259259259
116,2,<=55,23,5,7.33,0.88,0,2,28,8.21,3.8333333333333335,3.898936170212766
117,2,<=55,5,19,11.07,1.83,0,2,24,12.9,0.25,3.911660777385159
118,1,<=45,11,8,9.72,0.21,0,1,19,9.930000000000001,1.2222222222222223,8.03305785123967
119,1,<=30,6,6,5.07,1.26,0,0,12,6.33,0.8571428571428571,2.2433628318584073
120,1,<=30,3,3,2.79,0.93,1,0,6,3.72,0.75,1.4455958549222796
121,1,<=45,12,14,16.6,6.52,1,1,26,23.12,0.8,2.2074468085106385
122,2,<=45,7,10,5.38,1.08,0,1,17,6.46,0.6363636363636364,2.5865384615384612
123,2,<=30,9,6,17.82,3.31,1,0,15,21.13,1.2857142857142858,4.134570765661253
124,2,<=45,13,13,3.65,0.79,0,1,26,4.4399999999999995,0.9285714285714286,2.0391061452513966
125,2,<=30,8,4,5.15,0.25,0,0,12,5.4,1.6,4.12
126,2,<=30,6,4,5.59,1.76,0,0,10,7.35,1.2,2.0253623188405796
127,2,<=45,12,4,24.67,2.17,0,1,16,26.840000000000003,2.4,7.782334384858045
128,2,<=30,4,1,24.51,1.97,0,0,5,26.48,2.0,8.252525252525254
129,1,<=30,8,7,3.04,0.9,0,0,15,3.94,1.0,1.6
130,1,<=30,1,7,21.43,3.18,1,0,8,24.61,0.125,5.126794258373206
131,1,<=45,3,14,5.44,1.51,0,1,17,6.95,0.2,2.167330677290837
132,1,<=55,5,6,10.62,0.41,0,2,11,11.03,0.7142857142857143,7.531914893617021
133,1,<=45,8,17,3.76,1.25,0,1,25,5.01,0.4444444444444444,1.671111111111111
134,2,<=55,6,17,11.04,4.03,1,2,23,15.07,0.3333333333333333,2.1948310139165006
135,1,<=30,2,2,3.13,1.03,1,0,4,4.16,0.6666666666666666,1.5418719211822658
136,1,<=45,20,9,31.5,4.76,0,1,29,36.26,2.0,5.46875
137,2,<=55,10,14,6.06,1.36,0,2,24,7.42,0.6666666666666666,2.567796610169491
138,2,<=30,1,0,6.71,0.48,1,0,1,7.1899999999999995,1.0,4.533783783783784
139,1,<=45,8,0,1.69,0.99,0,1,8,2.6799999999999997,8.0,0.8492462311557789
140,1,<=45,7,6,6.42,0.59,0,1,13,7.01,1.0,4.037735849056604
141,1,<=30,1,6,11.84,1.31,1,0,7,13.15,0.14285714285714285,5.125541125541125
142,1,<=45,10,4,3.2,0.4,0,1,14,3.6,2.0,2.285714285714286
143,2,<=55,0,10,6.92,1.09,0,2,10,8.01,0.0,3.3110047846889956
144,2,<=45,5,5,15.37,2.26,1,1,10,17.63,0.8333333333333334,4.714723926380368
145,2,<=30,7,2,14.25,7.29,1,0,9,21.54,2.3333333333333335,1.718938480096502
146,2,<=55,14,9,7.84,1.13,0,2,23,8.969999999999999,1.4,3.6807511737089205
147,2,<=45,9,8,9.73,0.54,0,1,17,10.27,1.0,6.318181818181818
148,2,<=45,3,18,4.16,0.56,0,1,21,4.720000000000001,0.15789473684210525,2.6666666666666665
149,2,<=45,8,2,4.34,1.59,0,1,10,5.93,2.6666666666666665,1.6756756756756757
150,2,<=55,19,22,8.63,2.87,0,2,41,11.5,0.8260869565217391,2.2299741602067185
151,1,<=45,2,10,10.13,1.79,0,1,12,11.920000000000002,0.18181818181818182,3.630824372759857
152,1,<=45,0,17,9.75,0.73,0,1,17,10.48,0.0,5.635838150289017
153,1,<=45,7,11,30.98,3.18,1,1,18,34.160000000000004,0.5833333333333334,7.411483253588518
154,1,<=45,6,5,11.77,2.55,0,1,11,14.32,1.0,3.315492957746479
155,2,<=30,1,8,11.66,1.53,0,0,9,13.19,0.1111111111111111,4.608695652173913
156,2,<=45,4,15,7.62,1.21,0,1,19,8.83,0.25,3.4479638009049776
157,2,<=30,9,3,1.51,0.51,0,0,12,2.02,2.25,1.0
158,2,<=45,16,4,20.06,4.37,0,1,20,24.43,3.2,3.7355679702048414
159,2,<=30,1,4,3.5,0.26,0,0,5,3.76,0.2,2.7777777777777777
160,2,<=55,16,32,1.79,1.38,0,2,48,3.17,0.48484848484848486,0.7521008403361346
161,2,<=55,12,6,7.65,3.68,0,2,18,11.33,1.7142857142857142,1.6346153846153848
162,1,<=45,15,2,5.48,1.08,0,1,17,6.5600000000000005,5.0,2.6346153846153846
163,1,<=45,5,17,25.09,1.99,0,1,22,27.08,0.2777777777777778,8.391304347826086
